Id,frame.len,frame.protocols,tcp.stream,tcp.analysis.initial_rtt,tcp.len,tcp.window_size,tcp.flags.syn,tcp.flags.reset,tcp.flags.ack,mqtt.msgtype,mqtt.qos,mqtt.conflag.qos,mqtt.conflag.cleansess,mqtt.kalive,mqtt.username_len,mqtt.passwd_len,mqtt.retain,mqtt.conflag.retain,mqtt.conflag.willflag,mqtt.topic_len,mqtt.len,mqtt.conack.val,residual_score,normal_packet_count,test_packet_count,stream_rows,stream_current_positives,stream_attack_fraction,frequency_excess,undecoded_payload,residual_rank,selected_top64,selected_target3000
1145,189,eth:ethertype:ip:tcp,2,,135,5738,0,0,1,,,,,,,,,,,,,,0.709661803669644,8,2,276,250,0.9057971014492754,0.7148,1,1,1,1
5244,189,eth:ethertype:ip:tcp,2,,135,5738,0,0,1,,,,,,,,,,,,,,0.709661803669644,8,2,276,250,0.9057971014492754,0.7148,1,2,1,1
5516,207,eth:ethertype:ip:tcp,2,,153,5740,0,0,1,,,,,,,,,,,,,,0.6241018036696441,8,1,276,250,0.9057971014492754,0.4296,1,3,1,1
6011,66,eth:ethertype:ip:tcp,2,,0,64215,0,0,1,,,,,,,,,,,,,,0.45347691857790934,11,1,276,250,0.9057971014492754,0.2157,0,4,1,1
4057,54,eth:ethertype:ip:tcp,5,,0,63349,0,0,1,,,,,,,,,,,,,,0.41040213090179717,162,19,57,41,0.7192982456140351,0.39207368421052624,0,5,1,1
4933,54,eth:ethertype:ip:tcp,3,,0,63631,0,0,1,,,,,,,,,,,,,,0.4095568098373371,127,16,71,48,0.676056338028169,0.43405625000000003,0,6,1,1
1980,54,eth:ethertype:ip:tcp,5,,0,63208,0,0,1,,,,,,,,,,,,,,0.40347449765515175,185,21,57,41,0.7192982456140351,0.3718809523809524,0,7,1,1
5475,54,eth:ethertype:ip:tcp,3,,0,63774,0,0,1,,,,,,,,,,,,,,0.3894361078305209,167,19,71,48,0.676056338028169,0.37331052631578954,0,8,1,1
1805,54,eth:ethertype:ip:tcp,3,,0,63490,0,0,1,,,,,,,,,,,,,,0.3894314365931395,150,17,71,48,0.676056338028169,0.37088235294117644,0,9,1,1
55,54,eth:ethertype:ip:tcp,3,,0,63915,0,0,1,,,,,,,,,,,,,,0.38518117868071194,188,21,71,48,0.676056338028169,0.36169523809523807,0,10,1,1
4456,66,eth:ethertype:ip:tcp,2,,0,64485,0,0,1,,,,,,,,,,,,,,0.38498986344619335,14,1,276,250,0.9057971014492754,0.0018000000000000238,0,11,1,1
1223,66,eth:ethertype:ip:tcp,2,,0,63549,0,0,1,,,,,,,,,,,,,,0.38040935501490986,18,1,276,250,0.9057971014492754,0.0,0,12,1,1
9757,54,eth:ethertype:ip:tcp,2,,0,63396,0,0,1,,,,,,,,,,,,,,0.3675213494888011,51,1,276,250,0.9057971014492754,0.0,0,13,1,1
5850,54,eth:ethertype:ip:tcp,2,,0,64080,0,0,1,,,,,,,,,,,,,,0.3664317748438672,57,1,276,250,0.9057971014492754,0.0,0,14,1,1
5177,54,eth:ethertype:ip:tcp,2,,0,64350,0,0,1,,,,,,,,,,,,,,0.3620425867950404,94,3,276,250,0.9057971014492754,0.0,0,15,1,1
8362,54,eth:ethertype:ip:tcp,4,,0,64620,0,0,1,,,,,,,,,,,,,,0.34711104101510554,1408,76,116,105,0.9051724137931034,0.0,0,16,1,1
592,60,eth:ethertype:ip:tcp,5,,0,250,0,0,1,,,,,,,,,,,,,,0.31169828355880536,1814,144,57,41,0.7192982456140351,0.10181805555555556,0,17,1,1
