source_pcap,pcap_bytes,tcp_rows,exact_test_matches,matched_current_attack,matched_current_normal
BF1_DDoS_AD_1.pcap,50000080,515532,391,391,0
BF1_DDoS_AD_2.pcap,50000076,515873,383,383,0
BF1_DoS_AD_1.pcap,200000192,2066805,422,422,0
Delay_DDoS_AD_1.pcap,50000008,510337,385,385,0
Delay_DDoS_AD_2.pcap,50000000,511383,404,404,0
Delay_DoS_AD_1.pcap,200000460,661416,401,401,0
SYN-DDoS-AD_1.pcap,50000056,497483,383,383,0
Sub_DDoS_AD_1.pcap,50000080,305376,393,393,0
Sub_DDoS_AD_2.pcap,50001164,247228,223,223,0
WILL_DDoS_AD_1.pcap,50000088,257289,405,405,0
WILL_DDoS_AD_2.pcap,50001248,253534,409,409,0
WILL_DoS_AD_1.pcap,200000124,711866,396,396,0
UNION,1050003576,7054122,422,422,0
